distance_to_city_center,hotel_address,hotel_link,hotel_name,image_link,lowest_price_per_night,lowest_seller,major_price_per_night,major_seller,major_total_price,minor_price_per_night,minor_seller,minor_total_price,num_of_ratings,num_of_stars,rating
1.4 miles to Colosseum,"Via Campania, 41, 00187, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=17586/100&hasList=1&hasMap=0&sharedcid=17586&tab=info,Hotel Victoria Roma,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/17/58/17586_v5.jpeg",142,Stayforlong,142,Stayforlong,567,122,Stayforlong,488,1259,4,8.7
0.1 miles to City center,"Via Dei Crociferi 26, 00187, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=5892782/100&hasList=1&hasMap=0&sharedcid=5892782&tab=info,59 Steps Trevi,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/58/92/5892782.jpeg",46,Hotels.com,51,Stayforlong,204,122,Stayforlong,488,337,,8.7
0.6 miles to Colosseum,"Via Palermo 36, 00184, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=16975/100&hasList=1&hasMap=0&sharedcid=16975&tab=info,Clarin Hotel,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/16/97/16975_v7.jpeg",55,Stayforlong,55,Stayforlong,222,122,Stayforlong,488,903,2,8.7
4.3 miles to City center,"Via Tuscolana, 892, 00174, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=787441/100&hasList=1&hasMap=0&sharedcid=787441&tab=info,Hotel The Strand,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/78/74/787441_v5.jpeg",65,Stayforlong,82,Booking.com,328,122,Stayforlong,488,336,3,8.7
1.8 miles to City center,"Via dei Sabelli, 177, 00185, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=17493144/100&hasList=1&hasMap=0&sharedcid=17493144&tab=info,B&B Hotel Roma San Lorenzo Termini,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/17/49/17493144_v1.jpeg",49,Agoda,51,Booking.com,203,122,Stayforlong,488,127,3,8.7
1.2 miles to St Peters Basilica,"Via Della Fontanella 15, 00187, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=17578/100&hasList=1&hasMap=0&sharedcid=17578&tab=info,Hotel Valadier,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/17/57/17578_v7.jpeg",115,Stayforlong,115,Stayforlong,462,122,Stayforlong,488,1687,4,8.7
1.3 miles to Colosseum,"Via Di Porta Pinciana 14, 00187, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=17529/100&hasList=1&hasMap=0&sharedcid=17529&tab=info,Hotel Splendide Royal,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/17/52/17529_v5.jpeg",325,Stayforlong,325,Stayforlong,1302,122,Stayforlong,488,1561,5,8.7
2.1 miles to St Peters Basilica,"Circonvallazione Gianicolense 226, 00149, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=3231794/100&hasList=1&hasMap=0&sharedcid=3231794&tab=info,Villa Zaccardi,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/32/31/3231794_v2.jpeg",72,Stayforlong,84,Booking.com,335,122,Stayforlong,488,147,,8.7
3.1 miles to City center,"Via Colossi, 50, 00146, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=4989244/100&hasList=1&hasMap=0&sharedcid=4989244&tab=info,Hotel San Paolo,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/49/89/4989244_v4.jpeg",65,Stayforlong,65,Stayforlong,262,70,Hurb - Hotel Urbano,280,180,4,8.6
3.7 miles to St Peters Basilica,"Via Aldobrandeschi 223, 00163, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=45652/100&hasList=1&hasMap=0&sharedcid=45652&tab=info,Roma Aurelia Antica,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/45/65/45652_v9.jpeg",55,Stayforlong,55,Stayforlong,222,70,Hurb - Hotel Urbano,280,803,4,8.6
0.4 miles to Colosseum,"Via di San Teodoro 48, 00186, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=16943/100&hasList=1&hasMap=0&sharedcid=16943&tab=info,Kolbe Hotel Rome,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/16/94/16943_v5.jpeg",115,Stayforlong,139,Booking.com,555,70,Hurb - Hotel Urbano,280,1679,4,8.6
0.2 miles to City center,"Via di Capo le Case, 18, 00187, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=7185234/100&hasList=1&hasMap=0&sharedcid=7185234&tab=info,Casa Heberart Capo le Case,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/71/85/7185234_v1.jpeg",52,Stayforlong,52,Stayforlong,207,70,Hurb - Hotel Urbano,280,287,,8.6
1.1 miles to St Peters Basilica,"Via del Corso 112, 00186, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=2087856/100&hasList=1&hasMap=0&sharedcid=2087856&tab=info,San Carlo Suite,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/20/87/2087856_v1.jpeg",140,Stayforlong,140,Stayforlong,560,70,Hurb - Hotel Urbano,280,248,,8.6
0.5 miles to City center,"via del corso, 005100, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=8920606/100&hasList=1&hasMap=0&sharedcid=8920606&tab=info,Elizabeth Unique,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/89/20/8920606_v1.jpeg",328,TravelUp,328,TravelUp,1311,70,Hurb - Hotel Urbano,280,196,5,8.6
0.3 miles to Colosseum,"Via Capo d'Africa 54, 00184, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=16932/100&hasList=1&hasMap=0&sharedcid=16932&tab=info,Capo d'Africa Hotel - Colosseo,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/16/93/16932_v6.jpeg",132,Prestigia,155,Booking.com,621,70,Hurb - Hotel Urbano,280,1557,4,8.6
1.9 miles to City center,,https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=16358630/100&hasList=1&hasMap=0&sharedcid=16358630&tab=info,Holiday Max,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/16/35/16358630.jpeg",83,Expedia,83,Expedia,333,70,Hurb - Hotel Urbano,280,18,,8.6
2.2 miles to St Peters Basilica,"Via Giorgio Zoega, 59, 00164, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=4042926/100&hasList=1&hasMap=0&sharedcid=4042926&tab=info,A.Roma Lifestyle Hotel,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/40/42/4042926.jpeg",121,Stayforlong,121,Stayforlong,484,70,Hurb - Hotel Urbano,280,1257,4,8.6
1.2 miles to Colosseum,"Via Ludovisi 15, 00187, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=45252/100&hasList=1&hasMap=0&sharedcid=45252&tab=info,Hotel Savoy,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/45/25/45252_v1.jpeg",137,lol.travel,144,Booking.com,576,70,Hurb - Hotel Urbano,280,1722,4,8.6
0.8 miles to Colosseum,"Piazza San Anselmo 2, 00153, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=17495/100&hasList=1&hasMap=0&sharedcid=17495&tab=info,Hotel San Anselmo,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/17/49/17495_v3.jpeg",103,Prestigia,121,Booking.com,484,70,Hurb - Hotel Urbano,280,515,4,8.6
0.8 miles to Colosseum,"Via Nazionale 7, 00184, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=17430/100&hasList=1&hasMap=0&sharedcid=17430&tab=info,Hotel Quirinale,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/17/43/17430_v6.jpeg",89,Stayforlong,89,Stayforlong,356,70,Hurb - Hotel Urbano,280,3424,4,8.6
1.3 miles to Colosseum,"Via Villafranca 20, 00185, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=17033/100&hasList=1&hasMap=0&sharedcid=17033&tab=info,Hotel Des Artistes,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/17/03/17033_v12.jpeg",74,Expedia,75,Booking.com,298,70,Hurb - Hotel Urbano,280,1747,3,8.6
1.1 miles to Colosseum,"Via Delle Convertite 5, 00187, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=85123/100&hasList=1&hasMap=0&sharedcid=85123&tab=info,Hotel Residenza Montecitorio,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/85/12/85123_v2.jpeg",213,Stayforlong,213,Stayforlong,851,70,Hurb - Hotel Urbano,280,1353,3,8.6
6.4 miles to St Peters Basilica,"Via Arturo Mercanti 63, 00148, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=150256/100&hasList=1&hasMap=0&sharedcid=150256&tab=info,Hotel ibis Roma Fiera,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/15/02/150256_v4.jpeg",40,Agoda,49,Booking.com,195,70,Hurb - Hotel Urbano,280,1090,3,8.6
1.2 miles to St Peters Basilica,"Lungotevere Delle Armi, 21, 00195, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=17053/100&hasList=1&hasMap=0&sharedcid=17053&tab=info,Hotel Donna Laura Palace,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/17/05/17053_v12.jpeg",99,Stayforlong,128,Booking.com,511,70,Hurb - Hotel Urbano,280,1279,4,8.6
0.9 miles to City center,"VIA DI SANTA PRASSEDE 8, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=8116416/100&hasList=1&hasMap=0&sharedcid=8116416&tab=info,Relais Santa Maria Maggiore,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/81/16/8116416.jpeg",71,Stayforlong,71,Stayforlong,284,70,Hurb - Hotel Urbano,280,774,,8.6
1.3 miles to Colosseum,"Via degli Apuli 41, 00185, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=2077164/100&hasList=1&hasMap=0&sharedcid=2077164&tab=info,Foresteria Roma,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/20/77/2077164_v2.jpeg",47,Expedia,47,Expedia,187,70,Hurb - Hotel Urbano,280,125,2,8.6
1.0 miles to St Peters Basilica,"Via della Penna, 22, 00186, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=17248/100&hasList=1&hasMap=0&sharedcid=17248&tab=info,Hotel Locarno,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/17/24/17248_v4.jpeg",278,TiCATi.com,292,Hotels.com,1168,70,Hurb - Hotel Urbano,280,698,5,8.6
1.1 miles to Colosseum,"Via dei Mille, 19, 00185, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=16870/100&hasList=1&hasMap=0&sharedcid=16870&tab=info,Hotel Archimede,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/16/87/16870_v5.jpeg",64,lol.travel,66,Stayforlong,265,70,Hurb - Hotel Urbano,280,467,4,8.6
2.9 miles to International Airport Roma Ciampino,"Via Di Tor Vergata 325, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=2548046/100&hasList=1&hasMap=0&sharedcid=2548046&tab=info,Hotel 325 Tor Vergata,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/25/48/2548046_v1.jpeg",55,Stayforlong,58,Booking.com,233,70,Hurb - Hotel Urbano,280,121,3,8.6
1.1 miles to Colosseum,"Via Sistina 53, 00187, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=989279/100&hasList=1&hasMap=0&sharedcid=989279&tab=info,SuiteSistina for Lovers,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/98/92/989279_v5.jpeg",89,Agoda,147,Booking.com,588,70,Hurb - Hotel Urbano,280,911,,8.6
3.0 miles to St Peters Basilica,"Piazza Monteleone di Spoleto 20, 00191, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=17108/100&hasList=1&hasMap=0&sharedcid=17108&tab=info,Grand Hotel Fleming,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/17/10/17108_v9.jpeg",66,Stayforlong,66,Stayforlong,265,70,Hurb - Hotel Urbano,280,1545,4,8.6
1.5 miles to Colosseum,"Corso d'Italia 92, 00198, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=1504541/100&hasList=1&hasMap=0&sharedcid=1504541&tab=info,Imperial Suite Guest House,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/15/04/1504541_v15.jpeg",1084,trivago Book & Go,1084,trivago Book & Go,4335,70,Hurb - Hotel Urbano,280,120,,8.6
0.6 miles to City center,"Via V. E. Orlando, 83 - Rome, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=6303100/100&hasList=1&hasMap=0&sharedcid=6303100&tab=info,Mascagni Luxury Dependance,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/63/03/6303100.jpeg",96,Stayforlong,96,Stayforlong,385,70,Hurb - Hotel Urbano,280,210,,8.6
1.1 miles to Colosseum,"Via Volturno 22, 00185, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=17079/100&hasList=1&hasMap=0&sharedcid=17079&tab=info,Hotel Regio,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/17/07/17079_v4.jpeg",64,Stayforlong,64,Stayforlong,255,79,Hotels.com,316,702,3,7.8
0.4 miles to City center,"VIA D'ARACOELI, 11, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=8971948/100&hasList=1&hasMap=0&sharedcid=8971948&tab=info,Otivm,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/89/71/8971948.jpeg",80,Stayforlong,80,Stayforlong,320,79,Hotels.com,316,635,,7.8
2.6 miles to St Peters Basilica,"Via Aurelia, 800, 00165, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=17194/100&hasList=1&hasMap=0&sharedcid=17194&tab=info,Hotel Roma Midas,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/17/19/17194_v5.jpeg",65,Stayforlong,65,Stayforlong,258,79,Hotels.com,316,735,4,7.8
0.8 miles to Colosseum,"Via Filippo Turati 16, 00185, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=16875/100&hasList=1&hasMap=0&sharedcid=16875&tab=info,Hotel Ariston,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/16/87/16875_v4.jpeg",77,TravelUp,96,Booking.com,385,79,Hotels.com,316,1185,4,7.8
0.9 miles to Colosseum,"Via del Boccaccio 25 - 1 floor, 00187, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=16912/100&hasList=1&hasMap=0&sharedcid=16912&tab=info,Hotel Boccaccio,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/16/91/16912_v6.jpeg",107,Vrbo,122,TravelStaytion,488,79,Hotels.com,316,200,1,7.8
0.4 miles to Colosseum,"Via de' Ciancaleoni 49, 00184, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=915325/100&hasList=1&hasMap=0&sharedcid=915325&tab=info,Hotel Ivanhoe,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/91/53/915325_v7.jpeg",176,Stayforlong,176,Stayforlong,705,79,Hotels.com,316,3938,3,7.8
0.2 miles to St Peters Basilica,"Via Delle Fornaci, 25, 00165, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=17066/100&hasList=1&hasMap=0&sharedcid=17066&tab=info,Emmaus,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/17/06/17066_v4.jpeg",65,Stayforlong,65,Stayforlong,258,79,Hotels.com,316,490,3,7.8
0.8 miles to Colosseum,"Via del Viminale, 19, 00184, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=17180/100&hasList=1&hasMap=0&sharedcid=17180&tab=info,Hotel Impero,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/17/18/17180_v4.jpeg",66,Stayforlong,66,Stayforlong,265,79,Hotels.com,316,1666,3,7.8
