distance_to_city_center,hotel_address,hotel_link,hotel_name,image_link,lowest_price_per_night,lowest_seller,major_price_per_night,major_seller,major_total_price,minor_price_per_night,minor_seller,minor_total_price,num_of_ratings,num_of_stars,rating
1.2 miles to Colosseum,"Via Bocca di Leone 14, 00187, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=17040/100&hasList=1&hasMap=0&sharedcid=17040&tab=info,Hotel d'Inghilterra Roma - Starhotels Collezione,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/17/04/17040_v8.jpeg",323,Prestigia,380,Hotel Website,1519,79,Hotels.com,316,339,5,7.8
4.8 miles to International Airport Roma Ciampino,"Via Di Castel Di Leva 108, 00134, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=873156/100&hasList=1&hasMap=0&sharedcid=873156&tab=info,All Ways Garden & Leisure,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/87/31/873156_v7.jpeg",56,Booking.com,56,Booking.com,226,79,Hotels.com,316,797,4,7.8
3.2 miles to Colosseum,"Via del Forte Ostiense, 00146, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=946071/100&hasList=1&hasMap=0&sharedcid=946071&tab=info,Smy Area Roma,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/94/60/946071_v6.jpeg",63,Hotels.com,70,Booking.com,280,79,Hotels.com,316,789,4,7.8
0.9 miles to Colosseum,"Via del Lavatore 95, 00187, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=2200778/100&hasList=1&hasMap=0&sharedcid=2200778&tab=info,Relais Trevi 95 Hotel,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/22/00/2200778_v21.jpeg",176,Booking.com,176,Booking.com,705,79,Hotels.com,316,992,4,7.8
0.9 miles to St Peters Basilica,"Via Dell'Orso, 38-39, 00186, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=2300504/100&hasList=1&hasMap=0&sharedcid=2300504&tab=info,NAVONA COLORS,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/23/00/2300504_v7.jpeg",115,Stayforlong,115,Stayforlong,458,79,Hotels.com,316,543,,7.8
1.0 miles to Colosseum,"Via Marsala 22, 00185, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=17469/100&hasList=1&hasMap=0&sharedcid=17469&tab=info,Best Western Premier Hotel Royal Santina,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/17/46/17469_v14.jpeg",97,Stayforlong,97,Stayforlong,389,79,Hotels.com,316,1794,4,7.8
3.3 miles to City center,"Via Galeazzo Alessi 249, 00176, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=13203346/100&hasList=1&hasMap=0&sharedcid=13203346&tab=info,Old Bakery Rome Guest House,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/13/20/13203346.jpeg",40,Expedia,40,Expedia,160,79,Hotels.com,316,18,,7.8
0.5 miles to Colosseum,"Via Sforza 10, 00184, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=16983/100&hasList=1&hasMap=0&sharedcid=16983&tab=info,Hotel Colosseum,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/16/98/16983_v11.jpeg",81,Hotelwiz,93,Stayforlong,371,79,Hotels.com,316,1524,3,7.8
0.5 miles to St Peters Basilica,"Via Boezio, 15, 00193, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=16869/100&hasList=1&hasMap=0&sharedcid=16869&tab=info,Hotel Arcangelo,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/16/86/16869_v8.jpeg",87,Stayforlong,87,Stayforlong,349,79,Hotels.com,316,664,3,7.8
0.9 miles to Colosseum,"Via delle Quattro Fontane 12, 00184, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=16861/100&hasList=1&hasMap=0&sharedcid=16861&tab=info,Hôtel Anglo Americano,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/16/86/16861_v4.jpeg",84,Stayforlong,84,Stayforlong,335,79,Hotels.com,316,619,4,7.8
1.0 miles to Colosseum,"Via Santa Croce in Gerusalemme, 40, 00185, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=16911/100&hasList=1&hasMap=0&sharedcid=16911&tab=info,Hotel Bled,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/16/91/16911_v3.jpeg",53,Expedia,69,Stayforlong,276,79,Hotels.com,316,186,3,7.8
0.6 miles to City center,"Via delle Pace 36 A, 00186, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=1750627/100&hasList=1&hasMap=0&sharedcid=1750627&tab=info,Navona Palace Luxury Inn,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/17/50/1750627_v4.jpeg",80,Stayforlong,80,Stayforlong,320,79,Hotels.com,316,824,,7.8
0.8 miles to Colosseum,"Via Nazionale 22, 00184, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=16878/100&hasList=1&hasMap=0&sharedcid=16878&tab=info,Artemide,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/16/87/16878_v4.jpeg",218,Agoda,254,Booking.com,1017,79,Hotels.com,316,2251,4,7.8
1.0 miles to Colosseum,"Via Magna Grecia 122, 00183, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=17393/100&hasList=1&hasMap=0&sharedcid=17393&tab=info,Best Western Hotel Piccadilly,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/17/39/17393_v9.jpeg",64,TravelUp,82,Booking.com,326,79,Hotels.com,316,1290,3,7.8
1.4 miles to Colosseum,"Via dei Magazzini Generali, 4, 00154, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=17423/100&hasList=1&hasMap=0&sharedcid=17423&tab=info,Hotel Pyramid,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/17/42/17423_v5.jpeg",51,Hotelwiz,67,Booking.com,268,79,Hotels.com,316,618,3,7.8
1.2 miles to St Peters Basilica,"Via Lattanzio 51, 00136, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=17157/100&hasList=1&hasMap=0&sharedcid=17157&tab=info,Grand Hotel Tiberio,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/17/15/17157_v7.jpeg",71,BookingBargains,76,Booking.com,303,79,Hotels.com,316,3010,4,7.8
2.1 miles to St Peters Basilica,"Via Aurelia 619, 00165, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=82871/100&hasList=1&hasMap=0&sharedcid=82871&tab=info,Smooth Hotel Rome West,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/82/87/82871_v7.jpeg",45,Agoda,46,Stayforlong,185,79,Hotels.com,316,890,4,7.8
1.2 miles to Colosseum,"Via Tiburtina 30, 00185, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=17094/100&hasList=1&hasMap=0&sharedcid=17094&tab=info,Hotel Felice,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/17/09/17094_v3.jpeg",52,Booking.com,52,Booking.com,207,84,Hurb - Hotel Urbano,336,303,2,7.1
0.7 miles to Colosseum,"Via Nazionale 51, 00184, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=17531/100&hasList=1&hasMap=0&sharedcid=17531&tab=info,Hotel St Moritz,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/17/53/17531_v7.jpeg",78,Hotelwiz,84,Booking.com,337,84,Hurb - Hotel Urbano,336,401,3,7.1
1.2 miles to Colosseum,"Via Vittorio Veneto, 70, 00187, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=45612/100&hasList=1&hasMap=0&sharedcid=45612&tab=info,Grand Hotel Palace,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/45/61/45612_v5.jpeg",178,BookingBargains,179,Stayforlong,716,84,Hurb - Hotel Urbano,336,1236,5,7.1
0.5 miles to St Peters Basilica,"Via del Cottolengo 50, 00165, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=2838056/100&hasList=1&hasMap=0&sharedcid=2838056&tab=info,Il Cantico,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/28/38/2838056_v2.jpeg",51,Stayforlong,51,Stayforlong,204,84,Hurb - Hotel Urbano,336,929,3,7.1
0.6 miles to Colosseum,"Via Urbana 6/7, 00184, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=3757474/100&hasList=1&hasMap=0&sharedcid=3757474&tab=info,The Fifteen Keys Hotel,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/37/57/3757474_v1.jpeg",119,Stayforlong,119,Stayforlong,476,84,Hurb - Hotel Urbano,336,365,4,7.1
1.9 miles to Colosseum,"Via Gerolamo Frescobaldi 5, 00198, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=17375/100&hasList=1&hasMap=0&sharedcid=17375&tab=info,Parco dei Principi Grand Hotel & Spa,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/17/37/17375_v7.jpeg",314,lol.travel,315,Stayforlong,1258,84,Hurb - Hotel Urbano,336,1066,5,7.1
1.5 miles to St Peters Basilica,"via Andrea Alciato 14/16, 167, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=17613/100&hasList=1&hasMap=0&sharedcid=17613&tab=info,Hotel Club House,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/17/61/17613_v7.jpeg",71,lol.travel,88,Booking.com,351,84,Hurb - Hotel Urbano,336,332,4,7.1
0.5 miles to Colosseum,"Via Urbana 20, 00185, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=4492378/100&hasList=1&hasMap=0&sharedcid=4492378&tab=info,Relais Monti,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/44/92/4492378_v1.jpeg",101,Stayforlong,101,Stayforlong,404,84,Hurb - Hotel Urbano,336,214,,7.1
0.5 miles to City center,,https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=12334820/100&hasList=1&hasMap=0&sharedcid=12334820&tab=info,Concept Terrace,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/12/33/12334820.jpeg",160,Booking.com,160,Booking.com,641,84,Hurb - Hotel Urbano,336,21,,7.1
0.8 miles to Colosseum,"Via Principe Amedeo, 4, 00185, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=17038/100&hasList=1&hasMap=0&sharedcid=17038&tab=info,Hotel Diana Roof Garden,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/17/03/17038_v3.jpeg",89,Hotelwiz,91,Stayforlong,364,84,Hurb - Hotel Urbano,336,1898,4,7.1
0.4 miles to Colosseum,"Via dei Serpenti, 130, 00184, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=45983/100&hasList=1&hasMap=0&sharedcid=45983&tab=info,Hotel Anfiteatro Flavio,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/45/98/45983_v3.jpeg",57,Stayforlong,57,Stayforlong,229,84,Hurb - Hotel Urbano,336,926,3,7.1
1.3 miles to Colosseum,"Via Beniamino Franklin 4, 00153, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=2045321/100&hasList=1&hasMap=0&sharedcid=2045321&tab=info,Re Testa,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/20/45/2045321_v3.jpeg",137,Stayforlong,137,Stayforlong,549,84,Hurb - Hotel Urbano,336,416,3,7.1
0.8 miles to Colosseum,"Via Cavour 23, 00184, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=16887/100&hasList=1&hasMap=0&sharedcid=16887&tab=info,Bettoja Hotel Atlantico,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/16/88/16887_v6.jpeg",106,Stayforlong,106,Stayforlong,425,84,Hurb - Hotel Urbano,336,1576,4,7.1
2.0 miles to St Peters Basilica,"Via T. Taramelli 7, 00197, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=17454/100&hasList=1&hasMap=0&sharedcid=17454&tab=info,Best Western Hotel Rivoli,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/17/45/17454_v5.jpeg",90,Stayforlong,90,Stayforlong,360,84,Hurb - Hotel Urbano,336,743,4,7.1
0.3 miles to St Peters Basilica,"Via G. Vitelleschi 34, 00193, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=16886/100&hasList=1&hasMap=0&sharedcid=16886&tab=info,Hotel Atlante Star,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/16/88/16886_v3.jpeg",94,Booking.com,94,Booking.com,378,84,Hurb - Hotel Urbano,336,578,4,7.1
2.6 miles to Colosseum,"Via Andrea Mantegna 130, 00147, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=843021/100&hasList=1&hasMap=0&sharedcid=843021&tab=info,Barceló Aran Mantegna,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/84/30/843021_v15.jpeg",58,Booking.com,58,Booking.com,231,84,Hurb - Hotel Urbano,336,981,4,7.1
0.8 miles to Colosseum,"Via Torino, 122, 00184, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=2863849/100&hasList=1&hasMap=0&sharedcid=2863849&tab=info,Dharma Luxury Hotel,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/28/63/2863849_v9.jpeg",104,Stayforlong,104,Stayforlong,415,84,Hurb - Hotel Urbano,336,813,4,7.1
1.3 miles to Colosseum,"Via Palestro 17/A, 00185, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=17319/100&hasList=1&hasMap=0&sharedcid=17319&tab=info,Hotel Montecarlo,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/17/31/17319_v5.jpeg",52,Stayforlong,52,Stayforlong,207,84,Hurb - Hotel Urbano,336,485,3,7.1
1.0 miles to Colosseum,"Piazza Barberini, 23 b, 00187, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=16906/100&hasList=1&hasMap=0&sharedcid=16906&tab=info,Hotel Sina Bernini Bristol,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/16/90/16906_v7.jpeg",226,Stayforlong,226,Stayforlong,905,84,Hurb - Hotel Urbano,336,790,5,7.1
0.8 miles to St Peters Basilica,"Via Alessandro Farnese 30, 00192, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=17091/100&hasList=1&hasMap=0&sharedcid=17091&tab=info,Hotel Farnese,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/17/09/17091_v18.jpeg",141,Stayforlong,141,Stayforlong,564,84,Hurb - Hotel Urbano,336,731,4,7.1
0.4 miles to City center,"Largo Angelicum, 4, 00184, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=6001568/100&hasList=1&hasMap=0&sharedcid=6001568&tab=info,Roma Luxus,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/60/01/6001568_v1.jpeg",143,Prestigia,160,Stayforlong,640,84,Hurb - Hotel Urbano,336,442,,7.1
1.3 miles to Colosseum,"Via Palestro, 13, 00185, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=16919/100&hasList=1&hasMap=0&sharedcid=16919&tab=info,The Guardian,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/16/91/16919_v7.jpeg",83,Stayforlong,83,Stayforlong,331,84,Hurb - Hotel Urbano,336,1416,4,7.1
1.3 miles to Colosseum,"Via Boncompagni 37, 00187, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=961269/100&hasList=1&hasMap=0&sharedcid=961269&tab=info,Romanico Palace,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/96/12/961269_v10.jpeg",170,Stayforlong,170,Stayforlong,680,84,Hurb - Hotel Urbano,336,3099,4,7.1
0.2 miles to St Peters Basilica,"Via della Stazione di San Pietro ,14, 00165, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=17536/100&hasList=1&hasMap=0&sharedcid=17536&tab=info,Starhotels Michelangelo,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/17/53/17536_v7.jpeg",121,Agoda,131,Stayforlong,524,84,Hurb - Hotel Urbano,336,1760,4,7.1
1.7 miles to St Peters Basilica,"Via Bernardo Celentano 11, 00196, Rome, Italy",https://www.trivago.com/?&aDateRange[arr]=2021-07-12&aDateRange[dep]=2021-07-16&aPriceRange[from]=0&aPriceRange[to]=0&iRoomType=7&aRooms[0][adults]=2&cpt2=17594/100&hasList=1&hasMap=0&sharedcid=17594&tab=info,Hotel Villa Glori,"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/17/59/17594_v7.jpeg",68,Stayforlong,92,Booking.com,367,84,Hurb - Hotel Urbano,336,1086,4,7.1
